tour,year,tourney_id,tourney_number,tournament_name,tourney_level,surface,best_of,draw_size
atp,2007,2007-D010,1,1,1,1,2,1
atp,2007,2007-D011,1,1,1,1,2,1
atp,2007,2007-D013,1,1,1,1,2,1
atp,2007,2007-D016,1,1,1,1,2,1
atp,2007,2007-D018,1,1,1,1,2,1
atp,2007,2007-D019,1,1,1,1,2,1
atp,2007,2007-D020,1,1,1,1,2,1
atp,2007,2007-D022,1,1,1,1,2,1
atp,2007,2007-D023,1,1,1,1,2,1
atp,2007,2007-D024,1,1,1,1,2,1
atp,2007,2007-D025,1,1,1,1,2,1
atp,2007,2007-D026,1,1,1,1,2,1
atp,2007,2007-D028,1,1,1,1,2,1
atp,2007,2007-D029,1,1,1,1,2,1
atp,2007,2007-D031,1,1,1,1,2,1
atp,2007,2007-D032,1,1,1,1,2,1
atp,2007,2007-D033,1,1,1,1,2,1
atp,2007,2007-D034,1,1,1,1,2,1
atp,2007,2007-D035,1,1,1,1,2,1
atp,2007,2007-D038,1,1,1,1,2,1
atp,2007,2007-D039,1,1,1,1,2,1
atp,2007,2007-D040,1,1,1,1,2,1
atp,2007,2007-D041,1,1,1,1,2,1
atp,2007,2007-D042,1,1,1,1,2,1
atp,2007,2007-D043,1,1,1,1,2,1
atp,2007,2007-D044,1,1,1,1,2,1
atp,2007,2007-D045,1,1,1,1,2,1
atp,2007,2007-D047,1,1,1,1,2,1
atp,2007,2007-D048,1,1,1,1,2,1
atp,2007,2007-D049,1,1,1,1,2,1
atp,2007,2007-D050,1,1,1,1,2,1
atp,2007,2007-D051,1,1,1,1,2,1
atp,2007,2007-D052,1,1,1,1,2,1
atp,2007,2007-D053,1,1,1,1,2,1
atp,2007,2007-D055,1,1,1,1,2,1
atp,2007,2007-D056,1,1,1,1,2,1
atp,2007,2007-D057,1,1,1,1,2,1
atp,2007,2007-D058,1,1,1,1,2,1
atp,2007,2007-D059,1,1,1,1,2,1
atp,2007,2007-D060,1,1,1,1,2,1
atp,2007,2007-D061,1,1,1,1,2,1
atp,2007,2007-D062,1,1,1,1,2,1
atp,2007,2007-D063,1,1,1,1,2,1
atp,2007,2007-D065,1,1,1,1,2,1
atp,2007,2007-D066,1,1,1,1,2,1
atp,2007,2007-D069,1,1,1,1,2,1
atp,2007,2007-D070,1,1,1,1,2,1
atp,2007,2007-D072,1,1,1,1,2,1
atp,2007,2007-D073,1,1,1,1,2,1
atp,2007,2007-D075,1,1,1,1,2,1
atp,2007,2007-D076,1,1,1,1,2,1
